0.000000 994.356628
1.000000 970.426270
2.000000 959.791443
3.000000 961.816650
4.000000 962.755432
5.000000 959.814148
6.000000 964.088013
7.000000 956.773010
8.000000 947.033936
9.000000 952.988342
10.000000 961.851318
11.000000 958.351135
12.000000 973.029724
13.000000 972.536987
14.000000 967.113464
15.000000 957.637634
16.000000 957.887878
17.000000 954.626404
18.000000 970.756836
19.000000 962.749084
20.000000 958.216858
21.000000 956.008301
22.000000 958.740906
23.000000 969.164062
24.000000 968.507446
25.000000 968.778503
26.000000 965.622681
27.000000 977.375916
28.000000 981.804504
29.000000 977.087158
30.000000 959.774109
31.000000 954.433044
32.000000 949.627930
33.000000 960.396484
34.000000 967.499817
35.000000 970.811279
36.000000 971.502808
37.000000 976.113953
38.000000 974.107605
39.000000 957.322693
40.000000 960.773865
41.000000 976.033264
42.000000 965.308533
43.000000 972.214905
44.000000 968.619263
45.000000 965.720764
46.000000 958.665527
47.000000 963.945496
48.000000 968.836975
49.000000 966.838745
50.000000 978.978149
51.000000 976.892578
52.000000 969.865540
53.000000 968.675354
54.000000 957.057251
55.000000 952.691956
56.000000 955.740234
57.000000 971.739624
58.000000 978.164795
59.000000 975.978638
60.000000 970.224731
61.000000 971.008484
62.000000 971.903320
63.000000 965.349243
64.000000 969.205933
65.000000 974.300232
66.000000 985.932861
67.000000 975.411865
68.000000 966.638855
69.000000 964.150146
70.000000 971.791626
71.000000 980.667542
72.000000 971.272339
73.000000 977.265930
74.000000 977.294189
75.000000 980.271423
76.000000 981.920654
77.000000 984.692139
78.000000 993.915649
79.000000 975.182617
80.000000 970.032898
81.000000 973.294312
82.000000 967.752625
83.000000 965.246216
84.000000 961.497375
85.000000 972.710571
86.000000 970.583435
87.000000 962.584717
88.000000 958.382935
89.000000 957.516663
90.000000 965.917847
91.000000 970.718994
92.000000 975.938477
93.000000 980.451660
94.000000 983.070679
95.000000 982.503906
96.000000 983.625427
97.000000 981.263000
98.000000 979.580933
99.000000 969.051453
100.000000 962.086121
